iter	Logloss
0	0.5369156347
1	0.4977843912
2	0.4811537332
3	0.474655961
4	0.4702883046
5	0.4660860617
6	0.4634963814
7	0.4589181564
8	0.4559715412
9	0.4548712984
10	0.4535181764
11	0.4516614793
12	0.4500326021
13	0.449770894
14	0.4493159547
15	0.4478123574
16	0.4470654906
17	0.4452395003
18	0.4434310596
19	0.4425432327
20	0.4413211802
21	0.4409319048
22	0.4406228565
23	0.4401853092
24	0.4395401391
25	0.4390447575
26	0.4384858087
27	0.4375898001
28	0.437304763
29	0.4370694166
30	0.4368951106
31	0.4366656077
32	0.4362444537
33	0.4360184582
34	0.4342107769
35	0.4337408217
36	0.4335515963
37	0.4328141074
38	0.4322036555
39	0.4318712038
40	0.431557009
41	0.4312141596
42	0.430983783
43	0.4307297868
44	0.430535993
45	0.4302438639
46	0.4299548409
47	0.4296811483
48	0.4294678445
49	0.4288116706
50	0.4284915083
51	0.4277126987
52	0.4273316714
53	0.4271940809
54	0.4269616497
55	0.4268089811
56	0.4266279747
57	0.4264830757
58	0.4262469455
59	0.4259153337
60	0.4259017508
61	0.4256051614
62	0.4254443099
63	0.425257757
64	0.4251824145
65	0.4250830196
66	0.4250324543
67	0.4247110611
68	0.4246036837
69	0.4244921437
70	0.4243378694
71	0.4241807293
72	0.424220878
73	0.4241031657
74	0.4239756867
75	0.4238140654
76	0.423786923
77	0.4235441616
78	0.4233905941
79	0.4235207727
80	0.4232976682
81	0.4232188004
82	0.4230088669
83	0.42281105
84	0.422615494
85	0.4224205812
86	0.422265487
87	0.422197494
88	0.4221185689
89	0.4220106901
90	0.4218157171
91	0.4217210214
92	0.421635921
93	0.4214701393
94	0.4213806306
95	0.4213091988
96	0.4212564317
97	0.4211691403
98	0.421079694
99	0.4209687308
100	0.4209365641
101	0.420829259
102	0.4207721325
103	0.4207437007
104	0.4206283794
105	0.4205657055
106	0.4204221982
107	0.4203294734
108	0.4201711932
109	0.4201054712
110	0.4199086941
111	0.4198814649
112	0.4197750124
113	0.4196813871
114	0.4195834673
115	0.4195404858
116	0.4194439318
117	0.419328725
118	0.4192800187
119	0.4191642465
120	0.419056763
121	0.4189608181
122	0.4188947587
123	0.4187889892
124	0.4186628658
125	0.4186317372
126	0.4185805111
127	0.4185096584
128	0.4183606326
129	0.4183611043
130	0.418296328
131	0.4182528907
132	0.4181609832
133	0.418073081
134	0.4180837139
135	0.4179857841
136	0.4179156792
137	0.4178743747
138	0.4177777637
139	0.4176937779
140	0.4175936173
141	0.4174666683
142	0.4174220796
143	0.4174020115
144	0.417311361
145	0.4172377225
146	0.4172003186
147	0.4171433001
148	0.4170775674
149	0.4170468125
150	0.4169925414
151	0.4168414943
152	0.4167964821
153	0.4167373948
154	0.4166687622
155	0.416648351
156	0.4165916383
157	0.4165068586
158	0.416482178
159	0.4163848228
160	0.4163168184
161	0.4163028055
162	0.4162268318
163	0.4161948043
164	0.4161512802
165	0.416062089
166	0.4159489718
167	0.4159395319
168	0.4158710325
169	0.4157868321
170	0.4157324127
171	0.4157111797
172	0.4156760952
173	0.4156057163
174	0.4155740175
175	0.4155221091
176	0.4154680066
177	0.4154236165
178	0.4153718657
179	0.4153043532
180	0.4152623974
181	0.4151833464
182	0.4151469388
183	0.4151010429
184	0.4149359891
185	0.4149544721
186	0.4148823624
187	0.4148269006
188	0.4147617762
189	0.414712531
190	0.4146457077
191	0.4145637923
192	0.4145268135
193	0.4144691051
194	0.4144293744
195	0.4143777865
196	0.4143449738
197	0.4142910665
198	0.4142188327
199	0.4141663628
