iter	Passed	Remaining
0	3281	653024
1	6521	645657
2	8301	545162
3	10470	513032
4	12901	503166
5	15052	486701
6	16879	465387
7	19062	457493
8	20967	444986
9	22824	433672
10	24565	422087
11	27090	424421
12	29100	418600
13	31214	414711
14	33244	410018
15	35271	405627
16	37234	400817
17	39222	396586
18	41542	395745
19	43440	390966
20	45304	386167
21	47462	384015
22	49333	379656
23	51213	375567
24	53426	373985
25	55799	373427
26	58368	373993
27	60487	371568
28	62856	370637
29	64905	367797
30	67227	366496
31	69112	362840
32	71098	359800
33	73272	357740
34	75551	356169
35	77617	353591
36	79420	349881
37	81347	346795
38	83284	343817
39	85197	340790
40	87254	338377
41	89283	335877
42	91451	333902
43	93592	331828
44	95645	329446
45	97484	326362
46	99839	325009
47	102004	323014
48	103724	319639
49	106073	318221
50	108313	316445
51	110420	314274
52	112268	311387
53	114351	309173
54	116124	306146
55	118196	303934
56	120053	301186
57	122096	298925
58	124481	297490
59	126649	295515
60	128719	293311
61	130393	290229
62	132711	288594
63	134838	286532
64	136498	283496
65	138270	280730
66	140267	278441
67	142579	276771
68	144912	275124
69	146994	272989
70	148972	270667
71	150747	267995
72	152504	265316
73	154464	263007
74	156653	261089
75	158692	258920
76	160815	256887
77	162587	254303
78	164871	252524
79	167037	250556
80	168920	248167
81	171052	246149
82	173125	244043
83	175204	241949
84	177293	239867
85	179279	237650
86	181093	235212
87	183178	233136
88	185192	230970
89	187143	228730
90	189302	226747
91	190996	224213
92	193130	222203
93	195161	220075
94	197472	218258
95	199393	216009
96	201120	213560
97	203234	211530
98	204932	209072
99	206586	206586
100	208742	204609
101	210799	202532
102	212560	200178
103	214692	198177
104	217070	196397
105	218982	194191
106	221302	192347
107	223521	190407
108	225374	188156
109	227510	186144
110	229870	184310
111	231434	181841
112	233522	179791
113	235957	178002
114	237840	175795
115	239916	173732
116	241657	171432
117	243465	169187
118	245595	167170
119	247407	164938
120	249306	162770
121	251362	160707
122	252987	158374
123	254798	156166
124	256515	153909
125	258154	151614
126	260374	149664
127	262340	147566
128	264308	145472
129	266420	143457
130	268258	141296
131	270503	139350
132	272561	137305
133	274690	135295
134	276860	133303
135	278453	131036
136	280417	128951
137	282382	126867
138	284440	124826
139	286430	122755
140	288720	120812
141	290623	118705
142	292303	116512
143	293844	114272
144	295874	112228
145	297482	110027
146	299156	107858
147	300838	105699
148	303055	103730
149	304575	101525
150	306293	99393
151	308422	97396
152	310127	95268
153	312170	93245
154	314278	91242
155	316342	89224
156	317924	87074
157	319908	85039
158	321460	82892
159	323484	80871
160	325633	78880
161	327408	76799
162	329108	74705
163	331061	72671
164	333112	70660
165	334813	68576
166	336912	66575
167	338939	64559
168	340904	62532
169	342679	60472
170	344447	58415
171	346280	56371
172	347899	54296
173	349934	52289
174	351549	50221
175	353703	48232
176	355802	46234
177	357384	44171
178	359084	42127
179	360907	40100
180	362564	38059
181	364605	36059
182	366593	34055
183	368492	32042
184	370341	30027
185	372134	28010
186	374213	26014
187	375890	23992
188	377638	21978
189	379237	19959
190	380988	17952
191	383038	15959
192	384515	13946
193	386036	11939
194	387892	9945
195	389743	7953
196	391956	5968
197	393786	3977
198	395564	1987
199	397363	0
