iter	Passed	Remaining
0	7550	7542701
1	15152	7561203
2	22526	7486171
3	30088	7492129
4	36984	7359911
5	44606	7389863
6	51094	7248059
7	58515	7255917
8	65885	7254693
9	72075	7135489
10	79316	7131259
11	86930	7157250
12	94357	7163874
13	100944	7109360
14	108419	7119524
15	115812	7122467
16	123418	7136496
17	130817	7136824
18	138289	7140096
19	145699	7139291
20	152952	7130506
21	160522	7135967
22	167934	7133553
23	175121	7121597
24	182518	7118231
25	189870	7112847
26	196854	7094058
27	202351	7024480
28	209616	7018547
29	217020	7017003
30	224451	7015921
31	231873	7014185
32	239434	7016149
33	247169	7022530
34	254046	7004422
35	261761	7009383
36	269410	7011950
37	276731	7005667
38	283827	6993793
39	290808	6979407
40	298410	6979898
41	306251	6985441
42	313730	6982324
43	321502	6985382
44	329318	6988860
45	336690	6982665
46	344797	6991314
47	352294	6987174
48	359703	6981180
49	367200	6976811
50	374518	6968980
51	382912	6980783
52	391014	6986610
53	398649	6983741
54	406147	6978345
55	414397	6985558
56	421840	6978875
57	429252	6971658
58	435802	6950673
59	444029	6956457
60	451073	6943572
61	458927	6943123
62	466135	6932840
63	474339	6937211
64	482260	6937138
65	489663	6929483
66	497337	6925613
67	505159	6923653
68	513631	6930301
69	521239	6925038
70	529740	6931399
71	538020	6934488
72	544917	6919710
73	553301	6923746
74	561397	6923902
75	569124	6919356
76	577719	6925125
77	586035	6927234
78	594396	6929611
79	601912	6921994
80	610084	6921823
81	617907	6917555
82	626072	6916964
83	633800	6911448
84	641434	6904850
85	649202	6899662
86	656845	6893104
87	664445	6886071
88	671992	6878479
89	680011	6875668
90	687406	6866512
91	695391	6863213
92	703089	6857012
93	709612	6839459
94	717961	6839526
95	725444	6831269
96	733585	6829147
97	741375	6823680
98	748682	6813769
99	756483	6808349
100	760016	6764898
101	767616	6758038
102	774787	6747422
103	781733	6734933
104	789090	6726058
105	796610	6718580
106	804523	6714390
107	812060	6707014
108	818953	6694380
109	826320	6685687
110	833782	6677775
111	841004	6667967
112	848361	6659261
113	855756	6650883
114	863206	6642934
115	871184	6639025
116	879094	6634534
117	887345	6632530
118	894664	6623526
119	902505	6618373
120	909529	6607246
121	917974	6606403
122	925948	6602088
123	934117	6599087
124	941718	6592031
125	949193	6584087
126	956289	6573551
127	964000	6567251
128	971699	6560851
129	979233	6553329
130	987017	6547469
131	994200	6537619
132	1001774	6530367
133	1008558	6517998
134	1014948	6503186
135	1021851	6491761
136	1030094	6488842
137	1038128	6484541
138	1046046	6479466
139	1053625	6472272
140	1061065	6464218
141	1068224	6454484
142	1076029	6448650
143	1083793	6442549
144	1091641	6436918
145	1099898	6433652
146	1107888	6428765
147	1116374	6426698
148	1123674	6417766
149	1131445	6411526
150	1139202	6405187
151	1147151	6399900
152	1154360	6390477
153	1161986	6383379
154	1169514	6375741
155	1176904	6367353
156	1184153	6358227
157	1191838	6351440
158	1197529	6334100
159	1205469	6328713
160	1213267	6322555
161	1222341	6322976
162	1228012	6305805
163	1235980	6300486
164	1243411	6292414
165	1252075	6290549
166	1259327	6281556
167	1266633	6272852
168	1274410	6266479
